label,text
phishing,Verify your account immediately
phishing,Your account requires immediate review
phishing,Your account has been suspended
phishing,Confirm your identity now
phishing,OTP verification required
phishing,Your banking access has been restricted
phishing,Unusual login detected on your account
phishing,Your account will be disabled in 24 hours
phishing,Please verify your details to restore access
phishing,Security breach detected on your account
phishing,Your password has expired please update now
phishing,Unauthorized access detected please verify
phishing,Login attempt blocked verify your identity
phishing,Your account needs immediate attention
phishing,Click here to verify your account now
phishing,Congratulations you have won RM10000
phishing,You are selected for our lucky draw
phishing,Claim your free prize now
phishing,You have been chosen as our winner
phishing,Redeem your cash reward immediately
phishing,You won a grand prize click to claim
phishing,Free gift waiting for you claim now
phishing,You are our special lucky winner today
phishing,Congratulations claim your RM5000 reward
phishing,Winner selected you have won free money
phishing,Send money urgently to this account
phishing,Transfer funds immediately to avoid penalty
phishing,Your payment is overdue pay now
phishing,Bank transfer required immediately
phishing,Outstanding payment detected act now
phishing,Your loan has been approved send details
phishing,Investment opportunity guaranteed profit
phishing,Double your money in 24 hours
phishing,Quick profit guaranteed no risk
phishing,Send your bank account number to claim
phishing,Maybank account suspended verify now
phishing,CIMB security alert verify your account
phishing,Touch n go ewallet account locked
phishing,KWSP account requires verification
phishing,LHDN tax refund available claim now
phishing,Shopee lucky draw winner claim prize
phishing,Lazada special winner redeem now
phishing,MySejahtera account needs verification
phishing,Tabung haji account alert verify now
phishing,Bank negara security notice verify account
phishing,Act now or your account will be closed
phishing,Immediate action required or face penalty
phishing,Last warning verify account now
phishing,Police report will be filed if not responded
phishing,Legal action pending respond immediately
phishing,Your device has been compromised act now
phishing,Virus detected on your phone click to fix
phishing,Your data will be deleted verify now
phishing,Final notice respond within 24 hours
phishing,Account termination pending verify now
phishing,Hi I need your help urgently
phishing,Please keep this between us only
phishing,Don't tell anyone about this offer
phishing,This is exclusive only for you
phishing,I am stranded please send money
phishing,Emergency please transfer money now
phishing,Secret investment opportunity for you only
phishing,Confidential offer selected just for you
phishing,Help me transfer money I will reward you
phishing,Please don't share this with others
phishing,Click this link to verify your account
phishing,Open link to claim your reward now
phishing,Tap here to restore your account access
phishing,Visit our secure site to verify details
phishing,Follow this link to update your information
phishing,Login here to prevent account suspension
phishing,Secure your account by clicking this link
phishing,Update your banking details via this link
phishing,Your session expired login here now
phishing,Reset your password by clicking here
safe,Hey are you free tomorrow for lunch
safe,Can you pick up the kids from school
safe,Meeting rescheduled to 3pm today
safe,Happy birthday have a great day
safe,Thanks for your help yesterday
safe,See you at the office tomorrow
safe,The package was delivered today
safe,Dinner at 7pm dont forget
safe,Good morning have a nice day
safe,Call me when you are free
safe,The report is ready for review
safe,Great work on the project today
safe,Running late will be there soon
safe,Can we reschedule to next week
safe,The meeting went well today
safe,Please send me the document
safe,I will be back home by 6pm
safe,Thanks for coming to the event
safe,The kids are doing great in school
safe,Let me know when you arrive
